year;date;time;y;x;type;injured;died
2021;1.3.2021;11:28:00;42,70159;23,29997;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;1.3.2021;11:50:00;42,71431;23,2561;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;1.3.2021;11:50:00;42,71431;23,2561;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;1.3.2021;11:50:00;42,71431;23,2561;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;8.1.2021;17:40:00;42,70212;23,31725;СБЛЪСКВАНЕ МЕЖДУ МПС ПОД ЪГЪЛ;не;не
2021;8.1.2021;17:40:00;42,70212;23,31725;СБЛЪСКВАНЕ МЕЖДУ МПС ПОД ЪГЪЛ;не;не
2021;1.3.2021;11:44:00;42,65379;23,33988;БЛЪСКАНЕ НА ПЕШЕХОДЕЦ;не;не
2021;1.3.2021;11:44:00;42,65379;23,33988;БЛЪСКАНЕ НА ПЕШЕХОДЕЦ;не;не
2021;1.3.2021;12:55:00;42,7017;23,30009;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;1.3.2021;12:55:00;42,7017;23,30009;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;1.3.2021;12:55:00;42,7017;23,30009;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;1.3.2021;13:30:00;42,69044;23,30627;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;1.3.2021;13:30:00;42,69044;23,30627;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;1.3.2021;12:20:00;42,69895;23,30474;БЛЪСКАНЕ НА ПЕШЕХОДЕЦ;да;не
2021;1.3.2021;12:20:00;42,69895;23,30474;БЛЪСКАНЕ НА ПЕШЕХОДЕЦ;не;не
2021;1.3.2021;13:50:00;42,63202;23,355;ДРУГ ВИД ПТП;не;не
2021;8.1.2021;18:20:00;42,719;23,25686;БЛЪСКАНЕ НА ПАРКИРАНО ППС;не;не
2021;8.1.2021;18:20:00;42,719;23,25686;БЛЪСКАНЕ НА ПАРКИРАНО ППС;не;не
2021;1.3.2021;13:30:00;42,65565;23,34383;БЛЪСКАНЕ НА ПАРКИРАНО ППС;не;не
2021;1.3.2021;13:45:00;42,62563;23,40639;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;1.3.2021;13:45:00;42,62563;23,40639;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;1.3.2021;15:05:00;42,7048;23,32816;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;1.3.2021;15:05:00;42,7048;23,32816;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;1.3.2021;16:40:00;42,65432;23,34235;СБЛЪСКВАНЕ МЕЖДУ МПС ПОД ЪГЪЛ;не;не
2021;1.3.2021;16:40:00;42,65432;23,34235;СБЛЪСКВАНЕ МЕЖДУ МПС ПОД ЪГЪЛ;не;не
2021;1.3.2021;17:00:00;42,71621;23,3221;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;1.3.2021;17:00:00;42,71621;23,3221;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;1.3.2021;18:15:00;42,69546;23,33545;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;1.3.2021;18:15:00;42,69546;23,33545;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;1.3.2021;18:30:00;42,6792;23,32179;БЛЪСКАНЕ НА ВЕЛОСИПЕДИСТ;да;не
2021;1.3.2021;18:30:00;42,6792;23,32179;БЛЪСКАНЕ НА ВЕЛОСИПЕДИСТ;не;не
2021;2.1.2021;18:30:00;42,58084;23,3464;БЛЪСКАНЕ В КРАЙПЪТНО СЪОРЪЖЕНИЕ;не;не
2021;8.1.2021;17:40:00;42,7062;23,28884;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;8.1.2021;17:40:00;42,7062;23,28884;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;1.3.2021;19:10:00;42,70453;23,30155;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;1.3.2021;19:10:00;42,70453;23,30155;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;1.3.2021;19:30:00;42,70067;23,31619;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;1.3.2021;19:30:00;42,70067;23,31619;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;да;не
2021;1.3.2021;19:30:00;42,70067;23,31619;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;1.3.2021;20:30:00;42,71996;23,44743;БЛЪСКАНЕ НА ЖИВОТНО;не;не
2021;1.3.2021;22:50:00;42,70008;23,30969;БЛЪСКАНЕ В КРАЙПЪТНО СЪОРЪЖЕНИЕ;не;не
2021;1.3.2021;23:10:00;42,71318;23,3844;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;1.3.2021;23:10:00;42,71318;23,3844;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;2.3.2021;2:20:00;42,66977;23,41053;СБЛЪСКВАНЕ МЕЖДУ МПС ЧЕЛНО;не;не
2021;2.3.2021;2:20:00;42,66977;23,41053;СБЛЪСКВАНЕ МЕЖДУ МПС ЧЕЛНО;не;не
2021;2.3.2021;8:15:00;42,67125;23,32647;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
